Serial No.		Street Name				Closure type
3106			10300 s. doty			No Street full closure
3107			701 n. sacramento			No Street full closure
3108			10300 s. doty			No Street full closure
3109			10300 s. doty			No Street full closure
3110			701 n. sacramento			No Street full closure
3111			701 n. sacramento			No Street full closure
3112			10300 s. doty			No Street full closure
3113			10300 s. doty			No Street full closure
3114			701 n. sacramento			No Street full closure
3115			10300 s. doty			No Street full closure
3116			701 n. sacramento			No Street full closure
3117			10300 s. doty			No Street full closure
3118			10300 s. doty			No Street full closure
3119			10300 s. doty			No Street full closure
3120			701 n. sacramento			No Street full closure
3121			10300 s. doty			No Street full closure
3122			701 n. sacramento			No Street full closure
3123			701 n. sacramento			No Street full closure
3124			10300 s. doty			No Street full closure
3125			701 n. sacramento			No Street full closure
3126			10300 s. doty			No Street full closure
3127			10300 s. doty			No Street full closure
3128			701 n. sacramento			No Street full closure
3129			701 n. sacramento			No Street full closure
3130			701 n. sacramento			No Street full closure
3131			10300 s. doty			No Street full closure
3132			701 n. sacramento			No Street full closure
3133			400 e. lower wacker			No Street full closure
3134			701 n. sacramento			No Street full closure
3135			701 n. sacramento			No Street full closure
3136			701 n. sacramento			No Street full closure
3137			701 n. sacramento			No Street full closure
3138			10300 s. doty			No Street full closure
3139			10300 s. doty			No Street full closure
3140			701 n. sacramento			No Street full closure
3141			701 n. sacramento			No Street full closure
3142			10300 s. doty			No Street full closure
3143			10300 s. doty			No Street full closure
3144			701 n. sacramento			No Street full closure
3145			701 n. sacramento			No Street full closure
3146			10300 s. doty			No Street full closure
3147			701 n. sacramento			No Street full closure
3148			701 n. sacramento			No Street full closure
3149			701 n. sacramento			No Street full closure
3150			701 n. sacramento			No Street full closure
3151			701 n. sacramento			No Street full closure
3152			10300 s. doty			No Street full closure
3153			701 n. sacramento			No Street full closure
3154			10300 s. doty			No Street full closure
3155			701 n. sacramento			No Street full closure
3156			10300 s. doty			No Street full closure
3157			701 n. sacramento			No Street full closure
3158			701 n. sacramento			No Street full closure
3159			10300 s. doty			No Street full closure
3160			701 n. sacramento			No Street full closure
3161			10300 s. doty			No Street full closure
3162			701 n. sacramento			No Street full closure
3163			10300 s. doty			No Street full closure
3164			10300 s. doty			No Street full closure
3165			701 n. sacramento			No Street full closure
3166			701 n. sacramento			No Street full closure
3167			701 n. sacramento			No Street full closure
3168			10300 s. doty			No Street full closure
3169			701 n. sacramento			No Street full closure
3170			701 n. sacramento			No Street full closure
3171			10300 s. doty			No Street full closure
3172			701 n. sacramento			No Street full closure
3173			10300 s. doty			No Street full closure
3174			10300 s. doty			No Street full closure
3175			701 n. sacramento			No Street full closure
3176			701 n. sacramento			No Street full closure
3177			10300 s. doty			No Street full closure
3178			701 n. sacramento			No Street full closure
3179			701 n. sacramento			No Street full closure
3180			10300 s. doty			No Street full closure
3181			701 n. sacramento			No Street full closure
3182			701 n. sacramento			No Street full closure
3183			701 n. sacramento			No Street full closure
3184			701 n. sacramento			No Street full closure
3185			701 n. sacramento			No Street full closure
3186			10300 s. doty			No Street full closure
3187			701 n. sacramento			No Street full closure
3188			701 n. sacramento			No Street full closure
3189			701 n. sacramento			No Street full closure
3190			701 n. sacramento			No Street full closure
3191			701 n. sacramento			No Street full closure
3192			10300 s. doty			No Street full closure
3193			10300 s. doty			No Street full closure
3194			701 n. sacramento			No Street full closure
3195			10300 s. doty			No Street full closure
3196			701 n. sacramento			No Street full closure
3197			10300 s. doty			No Street full closure
3198			701 n. sacramento			No Street full closure
3199			701 n. sacramento			No Street full closure
3200			701 n. sacramento			No Street full closure
3201			701 n. sacramento			No Street full closure
3202			10300 s. doty			No Street full closure
3203			701 n. sacramento			No Street full closure
3204			10300 s. doty			No Street full closure
3205			701 n. sacramento			No Street full closure
3206			701 n. sacramento			No Street full closure
3207			701 n. sacramento			No Street full closure
3208			701 n. sacramento			No Street full closure
3209			701 n. sacramento			No Street full closure
3210			701 n. sacramento			No Street full closure
3211			701 n. sacramento			No Street full closure
3212			701 n. sacramento			No Street full closure
3213			701 n. sacramento			No Street full closure
3214			10300 s. doty			No Street full closure
3215			701 n. sacramento			No Street full closure
3216			10300 s. doty			No Street full closure
3217			701 n. sacramento			No Street full closure
3218			10300 s. doty			No Street full closure
3219			10300 s. doty			No Street full closure
3220			701 n. sacramento			No Street full closure
3221			701 n. sacramento			No Street full closure
3222			10300 s. doty			No Street full closure
3223			10300 s. doty			No Street full closure
3224			701 n. sacramento			No Street full closure
3225			10300 s. doty			No Street full closure
3226			10300 s. doty			No Street full closure
3227			10300 s. doty			No Street full closure
3228			10300 s. doty			No Street full closure
3229			701 n. sacramento			No Street full closure
3230			10300 s. doty			No Street full closure
3231			10300 s. doty			No Street full closure
3232			10300 s. doty			No Street full closure
3233			10300 s. doty			No Street full closure
3234			701 n. sacramento			No Street full closure
3235			10300 s. doty			No Street full closure
3236			10300 s. doty			No Street full closure
3237			10300 s. doty			No Street full closure
3238			10300 s. doty			No Street full closure
3239			701 n. sacramento			No Street full closure
3240			10300 s. doty			No Street full closure
3241			701 n. sacramento			No Street full closure
3242			701 n. sacramento			No Street full closure
3243			701 n. sacramento			No Street full closure
3244			10300 s. doty			No Street full closure
3245			701 n. sacramento			No Street full closure
3246			10300 s. doty			No Street full closure
3247			10300 s. doty			No Street full closure
3248			10300 s. doty			No Street full closure
3249			10300 s. doty			No Street full closure
3250			701 n. sacramento			No Street full closure
3251			10300 s. doty			No Street full closure
3252			10300 s. doty			No Street full closure
3253			10300 s. doty			No Street full closure
3254			10300 s. doty			No Street full closure
3255			701 n. sacramento			No Street full closure
3256			701 n. sacramento			No Street full closure
3257			701 n. sacramento			No Street full closure
3258			701 n. sacramento			No Street full closure
3259			701 n. sacramento			No Street full closure
3260			10300 s. doty			No Street full closure
3261			10300 s. doty			No Street full closure
3262			10300 s. doty			No Street full closure
3263			10300 s. doty			No Street full closure
3264			10300 s. doty			No Street full closure
3265			701 n. sacramento			No Street full closure
3266			701 n. sacramento			No Street full closure
3267			701 n. sacramento			No Street full closure
3268			701 n. sacramento			No Street full closure
3269			10300 s. doty			No Street full closure
3270			701 n. sacramento			No Street full closure
3271			10300 s. doty			No Street full closure
3272			10300 s. doty			No Street full closure
3273			10300 s. doty			No Street full closure
3274			10300 s. doty			No Street full closure
3275			10300 s. doty			No Street full closure
3276			10300 s. doty			No Street full closure
3277			10300 s. doty			No Street full closure
3278			10300 s. doty			No Street full closure
3279			10300 s. doty			No Street full closure
3280			10300 s. doty			No Street full closure
3281			701 n. sacramento			No Street full closure
3282			10300 s. doty			No Street full closure
3283			10300 s. doty			No Street full closure
3284			10300 s. doty			No Street full closure
3285			701 n. sacramento			No Street full closure
3286			10300 s. doty			No Street full closure
